trip_date,group,period,trips,avg_fare,avg_cbd_fee
2024-05-22,Manhattan control,Pre,46191,24.172036110930808,0.0
2024-05-23,CBD-bound (treated),Pre,66222,26.464985805321525,0.0
2024-05-23,Manhattan control,Pre,42563,24.44083899161258,0.0
2024-05-24,CBD-bound (treated),Pre,59405,26.56236225906923,0.0
2024-05-24,Manhattan control,Pre,36756,23.704625095222745,0.0
2024-05-25,CBD-bound (treated),Pre,53110,24.096634343814813,0.0
2024-05-25,Manhattan control,Pre,25618,22.9211452884692,0.0
2024-05-26,CBD-bound (treated),Pre,48526,23.892812100729603,0.0
2024-05-26,Manhattan control,Pre,23936,24.036947276069668,0.0
2024-05-27,CBD-bound (treated),Pre,39305,25.43978933977885,0.0
2024-05-27,Manhattan control,Pre,21816,24.73583470847099,0.0
2024-05-28,CBD-bound (treated),Pre,54140,28.353384558551927,0.0
2024-05-28,Manhattan control,Pre,37828,24.51351908639115,0.0
2024-05-29,CBD-bound (treated),Pre,64803,27.001786028424608,0.0
2024-05-29,Manhattan control,Pre,43817,24.274676267202334,0.0
2024-05-30,CBD-bound (treated),Pre,65861,26.805069768148233,0.0
2024-05-30,Manhattan control,Pre,44340,24.658712900315795,0.0
2024-05-31,CBD-bound (treated),Pre,62912,25.878712805188233,0.0
2024-05-31,Manhattan control,Pre,40717,23.80193629196656,0.0
2024-06-01,CBD-bound (treated),Pre,75404,24.251718874330315,0.0
2024-06-01,Manhattan control,Pre,41032,23.387723484110023,0.0
2024-06-02,CBD-bound (treated),Pre,57392,26.914161729857845,0.0
2024-06-02,Manhattan control,Pre,34365,25.615140113487687,0.0
2024-06-03,CBD-bound (treated),Pre,57834,28.262039976484537,0.0
2024-06-03,Manhattan control,Pre,39218,23.63560048957125,0.0
2024-06-04,CBD-bound (treated),Pre,68287,27.607227290699576,0.0
2024-06-04,Manhattan control,Pre,43791,23.984482884611147,0.0
2024-06-05,CBD-bound (treated),Pre,74221,26.813643039032176,0.0
2024-06-05,Manhattan control,Pre,46291,23.853106003326975,0.0
2024-06-06,CBD-bound (treated),Pre,79724,27.30179456625366,0.0
2024-06-06,Manhattan control,Pre,47672,24.734816244336407,0.0
2024-06-07,CBD-bound (treated),Pre,73088,25.83007880910695,0.0
2024-06-07,Manhattan control,Pre,44124,23.516527286737546,0.0
2024-06-08,CBD-bound (treated),Pre,77841,24.08280212227503,0.0
2024-06-08,Manhattan control,Pre,39562,23.431309590010745,0.0
2024-06-09,CBD-bound (treated),Pre,58620,26.53551740020484,0.0
2024-06-09,Manhattan control,Pre,32001,25.462713977688328,0.0
2024-06-10,CBD-bound (treated),Pre,56331,27.48820063552944,0.0
2024-06-10,Manhattan control,Pre,36803,23.860644784392715,0.0
2024-06-11,CBD-bound (treated),Pre,65283,26.508598716358104,0.0
2024-06-11,Manhattan control,Pre,42579,23.50693393456881,0.0
2024-06-12,CBD-bound (treated),Pre,68036,25.80101152331124,0.0
2024-06-12,Manhattan control,Pre,42348,23.56103121753105,0.0
2024-06-13,CBD-bound (treated),Pre,72020,25.65136725909476,0.0
2024-06-13,Manhattan control,Pre,43386,23.694366154981,0.0
2024-06-14,CBD-bound (treated),Pre,69557,24.711157899277,0.0
2024-06-14,Manhattan control,Pre,40253,23.01316895635122,0.0
2024-06-15,CBD-bound (treated),Pre,67957,23.54475050399524,0.0
2024-06-15,Manhattan control,Pre,33083,23.131101472055285,0.0
2024-06-16,CBD-bound (treated),Pre,57561,24.89084935980969,0.0
2024-06-16,Manhattan control,Pre,31023,24.707768107533308,0.0
2024-06-17,CBD-bound (treated),Pre,53790,25.969554378137317,0.0
2024-06-17,Manhattan control,Pre,34819,23.15411097389375,0.0
2024-06-18,CBD-bound (treated),Pre,67930,25.2447185337849,0.0
2024-06-18,Manhattan control,Pre,42082,23.57732450929154,0.0
2024-06-19,CBD-bound (treated),Pre,56974,25.33227542387761,0.0
2024-06-19,Manhattan control,Pre,34919,23.24600360835087,0.0
2024-06-20,CBD-bound (treated),Pre,70727,26.52887426301145,0.0
2024-06-20,Manhattan control,Pre,41236,23.961698515860046,0.0
2024-06-21,CBD-bound (treated),Pre,68031,25.784712410518885,0.0
2024-06-21,Manhattan control,Pre,38146,23.327923504430505,0.0
2024-06-22,CBD-bound (treated),Pre,72981,23.746616790671663,0.0
2024-06-22,Manhattan control,Pre,32120,23.17649501868012,0.0
2024-06-23,CBD-bound (treated),Pre,60316,24.713921844950132,0.0
2024-06-23,Manhattan control,Pre,28657,24.675271312419454,0.0
2024-06-24,CBD-bound (treated),Pre,61156,27.830637876905076,0.0
2024-06-24,Manhattan control,Pre,35048,24.34618808491232,0.0
2024-06-25,CBD-bound (treated),Pre,72110,26.94447926778539,0.0
2024-06-25,Manhattan control,Pre,41337,24.096433945375903,0.0
2024-06-26,CBD-bound (treated),Pre,76289,26.68949665089345,0.0
2024-06-26,Manhattan control,Pre,42994,24.17382611527203,0.0
2024-06-27,CBD-bound (treated),Pre,72316,27.56725454947742,0.0
2024-06-27,Manhattan control,Pre,40452,25.63797265895394,0.0
2024-06-28,CBD-bound (treated),Pre,63818,26.55025682409352,0.0
2024-06-28,Manhattan control,Pre,34526,24.32233794821308,0.0
2024-06-29,CBD-bound (treated),Pre,67101,23.99353705607975,0.0
2024-06-29,Manhattan control,Pre,29869,24.08046034350009,0.0
2024-06-30,CBD-bound (treated),Pre,51346,25.160499941572983,0.0
2024-06-30,Manhattan control,Pre,26475,25.18376241737507,0.0
2024-07-01,CBD-bound (treated),Pre,45069,25.977001264727573,0.0
2024-07-01,Manhattan control,Pre,27950,24.271067978533203,0.0
2024-07-02,CBD-bound (treated),Pre,47310,25.068303952652872,0.0
2024-07-02,Manhattan control,Pre,29475,23.192021713316446,0.0
2024-07-03,CBD-bound (treated),Pre,44470,25.264259051045865,0.0
2024-07-03,Manhattan control,Pre,25458,22.82665763217862,0.0
2024-07-04,CBD-bound (treated),Pre,35148,25.021556845339852,0.0
2024-07-04,Manhattan control,Pre,16866,23.727575595873407,0.0
2024-07-05,CBD-bound (treated),Pre,42633,24.99792906903118,0.0
2024-07-05,Manhattan control,Pre,21038,23.469937256393273,0.0
2024-07-06,CBD-bound (treated),Pre,43720,25.36047827081443,0.0
2024-07-06,Manhattan control,Pre,20732,25.105293748794228,0.0
2024-07-07,CBD-bound (treated),Pre,41590,26.984423659533725,0.0
2024-07-07,Manhattan control,Pre,21156,27.21690300623951,0.0
2024-07-08,CBD-bound (treated),Pre,49613,28.021601596355893,0.0
2024-07-08,Manhattan control,Pre,29806,24.475339864456934,0.0
2024-07-09,CBD-bound (treated),Pre,62850,26.71495815433583,0.0
2024-07-09,Manhattan control,Pre,36038,23.71956101892459,0.0
2024-07-10,CBD-bound (treated),Pre,68954,25.827315456681323,0.0
2024-07-10,Manhattan control,Pre,38092,23.78730310826432,0.0
2024-07-11,CBD-bound (treated),Pre,68047,26.29751686334452,0.0
2024-07-11,Manhattan control,Pre,36885,24.702212552528277,0.0
2024-07-12,CBD-bound (treated),Pre,58402,25.30288688743547,0.0
2024-07-12,Manhattan control,Pre,31068,23.53564761169065,0.0
2024-07-13,CBD-bound (treated),Pre,61447,24.04765846990094,0.0
2024-07-13,Manhattan control,Pre,27653,23.564261382128688,0.0
2024-07-14,CBD-bound (treated),Pre,55692,24.883387021475368,0.0
2024-07-14,Manhattan control,Pre,26987,25.102239596843063,0.0
2024-07-15,CBD-bound (treated),Pre,56210,27.249089485856793,0.0
2024-07-15,Manhattan control,Pre,32939,24.1613837699992,0.0
2024-07-16,CBD-bound (treated),Pre,74509,26.185779301829317,0.0
2024-07-16,Manhattan control,Pre,39654,23.878670247642297,0.0
2024-07-17,CBD-bound (treated),Pre,74320,25.84659808934346,0.0
2024-07-17,Manhattan control,Pre,40764,23.73917255421464,0.0
2024-07-18,CBD-bound (treated),Pre,69377,26.69394410251247,0.0
2024-07-18,Manhattan control,Pre,37012,25.064735761374813,0.0
2024-07-19,CBD-bound (treated),Pre,60328,25.3179042898821,0.0
